iter	RMSE
131	0.1947975359
132	0.1944241464
133	0.1940913294
134	0.1937957141
135	0.1933828276
136	0.1930096493
137	0.1924674655
138	0.1920947585
139	0.1916555354
140	0.1912511283
141	0.1908049039
142	0.1905447271
143	0.1900185619
144	0.1896064738
145	0.1892546843
146	0.1888706771
147	0.1886480424
148	0.1884061195
149	0.1878510074
150	0.1875683181
151	0.1871043403
152	0.1868196473
153	0.1864516912
154	0.1860367138
155	0.185881227
156	0.1854544253
157	0.1848718279
158	0.1843727095
159	0.1841062518
160	0.1836345746
161	0.1833246705
162	0.183172092
163	0.1829458283
164	0.1827346211
165	0.1822725608
166	0.1818043114
167	0.1815178656
168	0.1813902397
169	0.1810570551
170	0.1806871009
171	0.1805125556
172	0.180357276
173	0.1798726318
174	0.1796266847
175	0.179351682
176	0.1790908208
177	0.1787084517
178	0.1784614416
179	0.178216352
180	0.1779166263
181	0.1777253759
182	0.1776011945
183	0.1773056112
184	0.1769937503
185	0.1766066588
186	0.1763801234
187	0.1760706116
188	0.1756467315
189	0.1752970839
190	0.1750300563
191	0.1746700583
192	0.1743699748
193	0.1741130437
194	0.1737401549
195	0.1735688269
196	0.1732660826
197	0.1731390201
198	0.1729990714
199	0.1724979366
200	0.1721101814
201	0.1718023783
202	0.1716115889
203	0.1715681659
204	0.1711886754
205	0.1708688604
206	0.170507858
207	0.1702517414
208	0.1698738368
209	0.1696573377
210	0.1692809493
211	0.1688318569
212	0.1687131078
213	0.1685825978
214	0.1683603363
215	0.1678107428
216	0.1676439947
217	0.1672394939
218	0.1669874441
219	0.166499427
220	0.1661810109
221	0.1659549869
222	0.1656800207
223	0.1653516796
224	0.1651721246
225	0.164922436
226	0.1648587586
227	0.164637667
228	0.1643538128
229	0.1641410848
230	0.1638356146
231	0.1633715195
232	0.1630098183
233	0.1628347798
234	0.1627034227
235	0.1624948838
236	0.1622642988
237	0.1618715935
238	0.1616498392
239	0.1612692601
240	0.1610419311
241	0.1605316015
242	0.1602764406
243	0.1597742284
244	0.1595162252
245	0.1589093846
246	0.1588203057
247	0.1586421259
248	0.1582092654
249	0.1579534295
250	0.1577671
251	0.1575300555
252	0.1571690762
253	0.1569704991
254	0.1568613774
255	0.1566056692
256	0.1564996987
257	0.1563133386
258	0.1559372541
259	0.1558173124
260	0.1554898899
261	0.1552815127
262	0.1551135528
263	0.1548346523
264	0.1545149563
265	0.154330543
266	0.1540680386
267	0.1539157296
268	0.1537414981
269	0.153568773
270	0.1534414294
271	0.1533550287
272	0.1529132622
273	0.1527761025
274	0.1525119152
275	0.1521643553
276	0.151992938
277	0.1517510899
278	0.1516025333
279	0.1513244948
280	0.1511269788
281	0.1507595718
282	0.1504315888
283	0.1501822607
284	0.1499555202
285	0.1495560074
286	0.1493213361
287	0.1490480362
288	0.1487397622
289	0.148413493
290	0.148313035
291	0.1480525561
292	0.1477993026
293	0.1474492474
294	0.1472139933
295	0.1470840751
296	0.1469881671
297	0.1468568946
298	0.1464265235
299	0.1462178988
300	0.1459619711
301	0.1457696846
302	0.1455796139
303	0.1452604523
304	0.1450803405
305	0.144953886
306	0.1448100629
307	0.1444300672
308	0.1441086116
309	0.1439825258
310	0.143913894
311	0.1438039372
312	0.1436722753
313	0.143409972
314	0.1433930503
315	0.1433292125
316	0.1432419281
317	0.1430186273
318	0.1429864463
319	0.1427434897
320	0.1426389588
321	0.1424035456
322	0.1420594115
323	0.1417785413
324	0.1416229773
325	0.1415066016
326	0.1413542613
327	0.1410604728
328	0.1409074397
329	0.140626153
330	0.1405600276
331	0.1404842122
332	0.1404648739
333	0.1403150208
334	0.1402159748
335	0.1400983051
336	0.1399610859
337	0.1399045564
338	0.1398351268
339	0.1396288924
340	0.1394086773
341	0.1391747181
342	0.1390381726
343	0.1389966964
344	0.1389031642
345	0.1387541992
346	0.138543762
347	0.1383616182
348	0.1381816525
349	0.1380276812
350	0.1379436904
351	0.1378746668
352	0.1376520437
353	0.137483867
354	0.1371786914
355	0.1370172389
356	0.1370090305
357	0.1367398299
358	0.1366217691
359	0.1364119966
360	0.1361669707
361	0.1359386931
362	0.1357383435
363	0.1356824144
364	0.1356211911
365	0.1354503107
366	0.1352550241
367	0.1352040351
368	0.1350948693
369	0.1350255956
370	0.1348959194
371	0.1348907154
372	0.1347158217
373	0.1344939315
374	0.134351899
375	0.1342142395
376	0.1339749729
377	0.1337757836
378	0.1336339403
379	0.1334257656
380	0.1333013006
381	0.1330359029
382	0.1328895834
383	0.1327788456
384	0.1325925914
385	0.1322694085
386	0.1321797114
387	0.1321040108
388	0.1320739192
389	0.1319264601
390	0.1317694931
391	0.1315550791
392	0.1313794593
393	0.1313091848
394	0.1312798576
395	0.1310920994
396	0.1308858627
397	0.1307840758
398	0.1306013803
399	0.1303702179
400	0.1302959242
401	0.1301523976
402	0.1299130609
403	0.1298139017
404	0.1295654175
405	0.1294549854
406	0.129412606
407	0.1292978046
408	0.1290985837
409	0.1289798156
410	0.1288581139
411	0.1286816785
412	0.1286222557
413	0.1285668325
414	0.1284915882
415	0.1284404273
416	0.1283816822
417	0.1282439905
418	0.1281063381
419	0.127954676
420	0.1278605817
421	0.1278240736
422	0.1277647438
423	0.1276743109
424	0.1275711283
425	0.1273382807
426	0.127293463
427	0.1269802046
428	0.1268769855
429	0.1266962941
430	0.1264998603
431	0.1262966498
432	0.1262338117
433	0.126058231
434	0.1257545607
435	0.1256450613
436	0.1255380192
437	0.1254689508
438	0.1253885239
439	0.1252640612
440	0.1252586787
441	0.1250525077
442	0.1248861843
443	0.1246381423
444	0.124484873
445	0.1243824894
446	0.1243096683
447	0.1241174238
448	0.1240973042
449	0.1240310726
450	0.1236972234
451	0.1235833436
452	0.1234240482
453	0.1233124367
454	0.1231271508
455	0.1230135288
456	0.1228524376
457	0.1227802079
458	0.1227203643
459	0.1226368261
460	0.1225228691
461	0.1224486842
462	0.1223371913
463	0.1221774294
464	0.122053917
465	0.1219586586
466	0.1217696068
467	0.1216975495
468	0.1216443023
469	0.1215674237
470	0.1213968121
471	0.1212829835
472	0.1211447235
473	0.1210963098
474	0.1207473298
475	0.120650172
476	0.1205707837
477	0.1204846938
478	0.1202755044
479	0.1201507923
480	0.119997334
481	0.1199357591
482	0.1198130643
483	0.1197943266
484	0.1197465867
485	0.1196117796
486	0.1195404853
487	0.1193515116
488	0.1191972231
489	0.1190788614
490	0.1188068709
491	0.1185639064
492	0.118545646
493	0.1183542537
494	0.1182768917
495	0.1181534717
496	0.1179848305
497	0.1178921528
498	0.1177665004
499	0.1176273958
500	0.1174875223
501	0.1172646321
502	0.1171150542
503	0.1170313778
504	0.1168489599
505	0.1168136507
506	0.1167466629
507	0.1166244459
508	0.116565373
509	0.1163958519
510	0.1162789364
511	0.1162134281
512	0.116099376
513	0.1158608655
514	0.1156713175
515	0.1156125473
516	0.1154955271
517	0.1153868323
518	0.1152852975
519	0.115177031
520	0.1151081009
521	0.1148895347
522	0.1147283091
523	0.1145290107
524	0.1143925883
525	0.1142907575
526	0.1140667607
527	0.1138259338
528	0.1137836082
529	0.1135560286
530	0.1134677949
531	0.1132654981
532	0.1131953877
533	0.1131312848
534	0.1130774577
535	0.1130058096
536	0.1128368185
537	0.1126691798
538	0.112616537
539	0.1125984506
540	0.1125680501
541	0.1125154227
542	0.1124395231
543	0.1122264702
544	0.112177706
545	0.112094391
546	0.112032055
547	0.1118257629
548	0.1115185215
549	0.1114631591
550	0.1114358177
551	0.1112346187
552	0.1111761834
553	0.1111331976
554	0.111080495
555	0.1108971005
556	0.1107859806
557	0.110744748
558	0.1105768897
559	0.1104831406
560	0.1104595194
561	0.1102878703
562	0.1102086525
563	0.1101203769
564	0.1100478891
565	0.1100276619
566	0.110003702
567	0.1097725018
568	0.1096310558
569	0.1095239602
570	0.1092932089
571	0.1091458423
572	0.1090596537
573	0.1090273997
574	0.1088788591
575	0.1087876957
576	0.108654153
577	0.1085774502
578	0.1085471981
579	0.1084879435
580	0.1083729264
581	0.1082482637
582	0.1081925106
583	0.1080854757
584	0.1079850062
585	0.1078961468
586	0.1077774812
587	0.1074652047
588	0.1073305262
589	0.1072979825
590	0.1072942415
591	0.1072054137
592	0.1070996208
593	0.1069834635
594	0.1069183941
595	0.1068296168
596	0.1066585345
597	0.1065878385
598	0.106562794
599	0.1065397927
600	0.1063769466
601	0.1062053492
602	0.1061404562
603	0.1061149644
604	0.1059730339
605	0.105932054
606	0.1058569622
607	0.1057267365
608	0.1054833922
609	0.1053761329
610	0.1052860169
611	0.1051194574
612	0.1050066116
613	0.1049921186
614	0.1049495119
615	0.1048194175
616	0.1047611416
617	0.1047127711
618	0.1046557962
619	0.104627806
620	0.1044472115
621	0.1043589603
622	0.1042390545
623	0.1042206848
624	0.1041561151
625	0.104089242
626	0.1040223029
627	0.1038249854
628	0.1037383791
629	0.103677441
630	0.1036193184
631	0.1035554334
632	0.1034681591
633	0.1033372734
634	0.1032075891
635	0.1030361503
636	0.1029748412
637	0.1029361844
638	0.1028521363
639	0.1028081005
640	0.1027874409
641	0.1027416686
642	0.1027226508
643	0.1025895936
644	0.1024830456
645	0.1023899874
646	0.1022875886
647	0.1020986762
648	0.1020006035
649	0.101975729
650	0.1019483814
651	0.1017853579
652	0.101724943
653	0.1016152938
654	0.1013929728
655	0.1013690816
656	0.1012902845
657	0.1012434356
658	0.1012063621
659	0.1011310878
660	0.1009706712
661	0.1008221676
662	0.1007847421
663	0.1007001017
664	0.1006226093
665	0.1005040072
666	0.1004429947
667	0.1004087964
668	0.1003334734
669	0.1003168048
670	0.100163759
671	0.1001024469
672	0.10007666
673	0.1000182104
674	0.09995641565
675	0.09989549433
676	0.0998351545
677	0.09976275758
678	0.09972214865
679	0.09968417941
680	0.09964223417
681	0.09954220835
682	0.09944228225
683	0.09933877886
684	0.09926499579
685	0.09907921659
686	0.09895877805
687	0.09872745038
688	0.098584185
689	0.09855857257
690	0.09851560502
691	0.09846157927
692	0.09835342261
693	0.09829592843
694	0.09825318303
695	0.09822572111
696	0.09811820775
697	0.09806734161
698	0.09794403052
699	0.09788970606
700	0.09780494357
701	0.09768533383
702	0.09760280915
703	0.09743515495
704	0.09735604076
705	0.09713267736
706	0.09706959525
707	0.09700759257
708	0.0969517546
709	0.09674192329
710	0.09657258908
711	0.09653459753
712	0.09649334503
713	0.09642201092
714	0.09640245717
715	0.09635703511
716	0.09628662068
717	0.09615713169
718	0.09606150333
719	0.09599313061
720	0.0959278625
721	0.09585553784
722	0.09566291687
723	0.09556644826
724	0.0954388156
725	0.09533588411
726	0.09524448042
727	0.09513329483
728	0.09503049486
729	0.09493097134
730	0.09486369904
731	0.09475042995
732	0.09470230937
733	0.09464109831
734	0.09456302945
735	0.09445234335
736	0.0943700102
737	0.09426074343
738	0.09417101994
739	0.09415210719
740	0.09407664116
741	0.09404444245
742	0.09393608864
743	0.09391698842
744	0.09380415887
745	0.09361595767
746	0.09355286321
747	0.09350453319
748	0.09347888416
749	0.0934483661
750	0.0932993286
751	0.09319051979
752	0.09309962408
753	0.09300393454
754	0.09289214863
755	0.09280189355
756	0.09269651234
757	0.09265755833
758	0.09251378627
759	0.09241344897
760	0.09232226567
761	0.09227002087
762	0.09218545792
763	0.09209090236
764	0.09205546794
765	0.09193318473
766	0.0917899413
767	0.0917147903
768	0.09165074866
769	0.09154265643
770	0.09144613971
771	0.09133800875
772	0.09127418115
773	0.09119424391
774	0.09113761658
775	0.09110199422
776	0.09099001593
777	0.09079705674
778	0.09066582344
779	0.09062634183
780	0.09055731319
781	0.09040308204
782	0.09033600502
783	0.09024315133
784	0.09021328489
785	0.09011649778
786	0.09008679163
787	0.09004091722
788	0.09002461834
789	0.08993120119
790	0.08987529206
791	0.08973181778
792	0.08952847808
793	0.08941938946
794	0.08931259654
795	0.0892613601
796	0.0892500284
797	0.08914381191
798	0.08909792649
799	0.08901607983
800	0.08891928941
801	0.08888009857
802	0.08876889465
803	0.08873512943
804	0.08870965071
805	0.08866703495
806	0.08865488693
807	0.08858262261
808	0.08850618103
809	0.08846343363
810	0.08841779652
811	0.08841231262
812	0.0883458209
813	0.0882959361
814	0.08816912895
815	0.08811997299
816	0.08810360186
817	0.08799153785
818	0.08791886884
819	0.08783159081
820	0.08773572044
821	0.08766968157
822	0.08754973269
823	0.0875316141
824	0.0874372594
825	0.08731418288
826	0.0871378678
827	0.08711082786
828	0.08706672272
829	0.08699339062
830	0.08693916693
831	0.08687715829
832	0.08686919841
833	0.08684773687
834	0.08683898004
835	0.08676033893
836	0.08661047011
837	0.08641838122
838	0.08634423702
839	0.08626120862
840	0.08612554558
841	0.08605520704
842	0.08594780834
843	0.08588752874
844	0.08578373494
845	0.08571546514
846	0.08557177276
847	0.08554829718
848	0.08546647476
849	0.08540965415
850	0.0853091714
851	0.08524944532
852	0.08516044645
853	0.08508898884
854	0.08503039189
855	0.08499210961
856	0.0849801587
857	0.08485843004
858	0.08478118158
859	0.08471695214
860	0.08467386388
861	0.08464110478
862	0.08457454246
863	0.08446058125
864	0.08444575432
865	0.08443518457
866	0.08441811987
867	0.08434971161
868	0.08431953937
869	0.08428639791
870	0.08419831154
871	0.08403088812
872	0.08388249072
873	0.08378502404
874	0.08370328797
875	0.08368144112
876	0.08366985289
877	0.08351872255
878	0.0834672011
879	0.08340763474
880	0.083350694
881	0.08326789845
882	0.08318223237
883	0.08315118148
884	0.08308751852
885	0.08302341381
886	0.08294554951
887	0.08292667328
888	0.08282325404
889	0.08272776969
890	0.08268982062
891	0.08260802123
892	0.0825944709
893	0.08252054031
894	0.08243375106
895	0.08238594407
896	0.08225465643
897	0.08219008282
898	0.08212141124
899	0.08205898434
900	0.08200344814
901	0.08196787112
902	0.08188858559
903	0.08185614284
904	0.08179578363
905	0.0817354496
906	0.08166908354
907	0.08163760693
908	0.08158025967
909	0.08152771692
910	0.08148864979
911	0.08146119545
912	0.08143537212
913	0.08141041909
914	0.08139482875
915	0.08132574285
916	0.08120146344
917	0.08114757339
918	0.08108817773
919	0.08104387862
920	0.08098302442
921	0.08095990495
922	0.0809450121
923	0.08091361135
924	0.08081520009
925	0.08075607095
926	0.08072648507
927	0.08069592631
928	0.08066245846
929	0.08057841594
930	0.08044690334
931	0.08026813529
932	0.08022730854
933	0.08015096951
934	0.07999284334
935	0.07992960231
936	0.07989534437
937	0.07982450097
938	0.07970277637
939	0.07968758371
940	0.07965491206
941	0.07961898704
942	0.07960531521
943	0.07954542351
944	0.07947617533
945	0.07935299548
946	0.07922783816
947	0.07921910377
948	0.07917852737
949	0.07912822674
950	0.07908046421
951	0.07903779267
952	0.07897737319
953	0.07886393545
954	0.07880932116
955	0.07873248957
956	0.07871106529
957	0.07866552708
958	0.07860548771
959	0.0785104723
960	0.07844837697
961	0.07838339513
962	0.07829447031
963	0.07819507363
964	0.07814913683
965	0.07810188727
966	0.07807288419
967	0.07806529058
968	0.07798652502
969	0.07795219094
970	0.07783983421
971	0.07773429079
972	0.07764984805
973	0.07757390052
974	0.07751193788
975	0.07743710657
976	0.07737121177
977	0.07730212402
978	0.07729893477
979	0.07717535256
980	0.07713352435
981	0.07709302905
982	0.07707273516
983	0.07702383258
984	0.07695195966
985	0.07690674743
986	0.07684833264
987	0.0767454169
988	0.07665491754
989	0.07655402839
990	0.07653676276
991	0.07647087415
992	0.07641571766
993	0.07638129174
994	0.07633086803
995	0.07627057408
996	0.07621870919
997	0.07613137338
998	0.07611422858
999	0.07608052903
